                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48383,                 1.7039,                0.90991,                      1,                0.95942,                  0.995,                0.89859,                0.44121,                 2.2021,                0.82042,                 0.0005,                 0.0005,                 0.0005
                      2,                0.50358,                0.93673,                0.90364,                0.97301,                0.91111,                0.98533,                0.88861,                0.48216,                 2.0865,                0.87303,              0.0009998,              0.0009998,              0.0009998
                      3,                0.48254,                0.88838,                0.87941,                0.85914,                0.88104,                0.94189,                0.78255,                0.55496,                  1.677,                0.88234,               0.001479,               0.001479,               0.001479
                      4,                0.52067,                0.83072,                0.90256,                0.96722,                0.98355,                0.99032,                0.90301,                0.52585,                 1.1152,                 1.1275,              0.0018812,              0.0018812,              0.0018812
                      5,                0.50376,                0.70886,                  0.898,                0.93534,                      1,                0.99242,                0.90851,                0.43976,                 1.0975,                0.85007,              0.0018812,              0.0018812,              0.0018812
                      6,                0.48495,                0.63599,                0.88821,                0.97739,                      1,                0.99478,                0.91608,                0.44663,                0.92806,                0.85295,              0.0018416,              0.0018416,              0.0018416
                      7,                0.46273,                0.57336,                0.87997,                0.99855,                      1,                  0.995,                0.91849,                0.41807,                0.62872,                0.82348,               0.001802,               0.001802,               0.001802
                      8,                0.45442,                 0.5263,                0.88388,                0.99889,                      1,                  0.995,                0.91252,                0.42187,                0.59974,                   0.83,              0.0017624,              0.0017624,              0.0017624
                      9,                0.44239,                 0.4944,                0.87273,                0.99848,                      1,                  0.995,                0.92324,                0.40728,                0.49111,                0.82321,              0.0017228,              0.0017228,              0.0017228
                     10,                0.43467,                0.45957,                0.86274,                0.99924,                      1,                  0.995,                0.91687,                0.40135,                0.45671,                0.81207,              0.0016832,              0.0016832,              0.0016832
                     11,                0.43024,                0.44137,                 0.8779,                0.99907,                      1,                  0.995,                0.91971,                0.40438,                0.42373,                0.81509,              0.0016436,              0.0016436,              0.0016436
                     12,                 0.4219,                0.42519,                0.86121,                 0.9989,                      1,                  0.995,                0.93151,                0.35205,                0.43534,                0.81523,               0.001604,               0.001604,               0.001604
                     13,                0.40655,                0.40142,                0.86343,                0.99889,                      1,                  0.995,                0.93805,                0.36316,                0.35846,                0.81972,              0.0015644,              0.0015644,              0.0015644
                     14,                0.42237,                0.40771,                 0.8752,                0.99924,                      1,                  0.995,                0.92525,                0.37041,                0.33417,                0.80862,              0.0015248,              0.0015248,              0.0015248
                     15,                0.40163,                0.37904,                0.86979,                0.99881,                      1,                  0.995,                0.94209,                 0.3432,                0.32351,                0.79979,              0.0014852,              0.0014852,              0.0014852
                     16,                0.40433,                0.36106,                0.86506,                 0.9994,                      1,                  0.995,                0.93635,                0.35858,                0.31885,                 0.7981,              0.0014456,              0.0014456,              0.0014456
                     17,                0.39867,                0.34127,                0.86295,                0.99937,                      1,                  0.995,                0.94367,                 0.3541,                0.29463,                0.79982,               0.001406,               0.001406,               0.001406
                     18,                 0.3944,                 0.3255,                0.86377,                0.99913,                      1,                  0.995,                0.95292,                0.35318,                0.31206,                0.79898,              0.0013664,              0.0013664,              0.0013664
                     19,                0.39109,                 0.3357,                0.85533,                0.99915,                      1,                  0.995,                0.95244,                0.35741,                0.31997,                0.79463,              0.0013268,              0.0013268,              0.0013268
                     20,                0.37197,                0.32402,                0.84647,                0.99919,                      1,                  0.995,                0.95747,                0.33637,                0.30092,                0.78949,              0.0012872,              0.0012872,              0.0012872
                     21,                0.38301,                0.31708,                0.86141,                0.99923,                      1,                  0.995,                0.94415,                0.34408,                0.29682,                 0.8058,              0.0012476,              0.0012476,              0.0012476
                     22,                0.39437,                0.31456,                0.86818,                 0.9993,                      1,                  0.995,                0.94702,                  0.349,                0.27057,                0.80803,               0.001208,               0.001208,               0.001208
                     23,                0.38252,                0.30935,                0.86978,                0.99926,                      1,                  0.995,                0.94652,                0.34231,                0.27439,                0.80666,              0.0011684,              0.0011684,              0.0011684
                     24,                0.40055,                0.31793,                0.86751,                0.99642,                      1,                  0.995,                0.95603,                0.33254,                0.30302,                0.79708,              0.0011288,              0.0011288,              0.0011288
                     25,                0.37467,                0.31145,                0.85688,                0.99932,                      1,                  0.995,                0.95312,                0.32156,                0.27048,                0.79585,              0.0010892,              0.0010892,              0.0010892
                     26,                0.38917,                0.31319,                0.86002,                0.99932,                      1,                  0.995,                0.93934,                 0.3494,                0.27638,                0.80017,              0.0010496,              0.0010496,              0.0010496
                     27,                0.37173,                0.29384,                0.84017,                0.99905,                      1,                  0.995,                0.94819,                0.32562,                 0.2582,                0.79144,                0.00101,                0.00101,                0.00101
                     28,                 0.3527,                 0.2855,                0.85469,                0.99938,                      1,                  0.995,                0.95141,                0.31275,                0.23019,                0.78753,              0.0009704,              0.0009704,              0.0009704
                     29,                0.35967,                0.28936,                0.84163,                0.99936,                      1,                  0.995,                0.95123,                0.33322,                 0.2446,                0.79595,              0.0009308,              0.0009308,              0.0009308
                     30,                0.35955,                0.28092,                0.84684,                0.99928,                      1,                  0.995,                 0.9657,                0.32238,                0.24303,                0.80847,              0.0008912,              0.0008912,              0.0008912
                     31,                0.35156,                0.27276,                0.85029,                0.99935,                      1,                  0.995,                0.95009,                0.31871,                0.22842,                0.80025,              0.0008516,              0.0008516,              0.0008516
                     32,                0.34048,                0.26834,                0.84804,                0.99937,                      1,                  0.995,                0.95752,                0.30624,                0.23777,                0.79112,               0.000812,               0.000812,               0.000812
                     33,                0.34314,                0.26064,                0.84243,                 0.9993,                      1,                  0.995,                0.96391,                0.30175,                0.21778,                0.78983,              0.0007724,              0.0007724,              0.0007724
