                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58828,                 1.5425,                0.92716,                      1,                0.63445,                 0.9833,                0.83875,                0.50031,                 2.3234,                 0.8274,                0.00058,                0.00058,                0.00058
                      2,                0.63722,                0.89063,                0.93076,                0.72549,                 0.6046,                0.73201,                 0.6142,                 0.5846,                 2.3442,                0.91573,              0.0011566,              0.0011566,              0.0011566
                      3,                0.62823,                0.83186,                0.92124,                0.95962,                 0.7766,                0.91834,                0.74181,                0.64242,                 2.0188,                0.98086,              0.0017095,              0.0017095,              0.0017095
                      4,                0.64071,                0.74632,                0.92656,                0.87808,                0.89435,                0.91128,                0.74848,                0.55762,                 1.1939,                 0.8901,              0.0018812,              0.0018812,              0.0018812
                      5,                 0.6405,                0.67561,                0.92234,                0.90711,                 0.9281,                0.93821,                0.79019,                0.56161,                 1.0722,                0.89734,              0.0018812,              0.0018812,              0.0018812
                      6,                0.60359,                0.61499,                0.91783,                0.97292,                 0.9393,                0.96532,                0.81018,                0.52641,                0.87874,                0.89749,              0.0018416,              0.0018416,              0.0018416
                      7,                0.56015,                0.53467,                0.89748,                0.99846,                0.97386,                0.98296,                0.81642,                0.52591,                0.60813,                 0.8935,               0.001802,               0.001802,               0.001802
                      8,                0.54886,                0.50736,                 0.9076,                0.99942,                0.97386,                 0.9874,                0.85657,                 0.4888,                0.49879,                0.87258,              0.0017624,              0.0017624,              0.0017624
                      9,                0.51366,                0.45857,                0.89236,                      1,                0.96048,                0.97472,                0.84512,                0.47025,                0.43889,                0.86277,              0.0017228,              0.0017228,              0.0017228
                     10,                0.55549,                 0.4818,                0.92359,                      1,                 0.9727,                0.98382,                0.84175,                0.49256,                0.43943,                 0.8815,              0.0016832,              0.0016832,              0.0016832
                     11,                0.53589,                0.45133,                0.90769,                      1,                0.97334,                0.98286,                0.86177,                0.47552,                0.43043,                0.87296,              0.0016436,              0.0016436,              0.0016436
                     12,                0.53447,                0.43741,                0.89905,                0.99881,                0.96732,                0.99142,                0.84399,                0.47393,                0.41601,                  0.887,               0.001604,               0.001604,               0.001604
                     13,                0.53763,                 0.4189,                0.89974,                0.99946,                0.97386,                0.98961,                0.85111,                0.46966,                0.38306,                0.88802,              0.0015644,              0.0015644,              0.0015644
                     14,                0.52882,                0.40516,                0.90716,                0.99872,                0.97386,                0.99363,                0.85324,                0.48408,                0.38901,                0.87039,              0.0015248,              0.0015248,              0.0015248
                     15,                0.50073,                0.38162,                0.88592,                0.99939,                0.97386,                0.99175,                0.86809,                0.44997,                0.33614,                0.86555,              0.0014852,              0.0014852,              0.0014852
                     16,                 0.5384,                0.38326,                0.90157,                      1,                0.97992,                0.98621,                0.86555,                0.44033,                0.30876,                 0.8608,              0.0014456,              0.0014456,              0.0014456
                     17,                0.50602,                 0.3746,                0.90481,                 0.9934,                0.98332,                0.98732,                0.87949,                0.45131,                0.35307,                0.86455,               0.001406,               0.001406,               0.001406
                     18,                0.51779,                0.37243,                0.90822,                0.99941,                0.98039,                0.98883,                0.87546,                 0.4443,                0.33628,                0.85166,              0.0013664,              0.0013664,              0.0013664
                     19,                0.51942,                0.36541,                 0.8904,                0.99932,                0.98039,                0.98565,                0.88467,                0.42128,                0.31412,                0.84368,              0.0013268,              0.0013268,              0.0013268
